Hook_point,Load_dis,F_slings_total,F_total_hook,Start_hook,Roll,Pitch,Strain_slings,sling,Short_long_slings,SKL_factor,Length_slings
"[0.0, 0.0, 8430.860966078324]","[0.2500031527567821, 0.2500031527567821, 0.2500031527567821, 0.2500031527567821]","[3739668.478935611, 3739668.478935611, 3739668.478935611, 3739668.478935611]","[0.0, 0.0, 9613921.239892606]","[0.0, 0.0, 8246.211252235322]",-35.09963219539351,-0.0,"[117.90365579150729, 117.90365579150729, 117.90365579150729, 117.90365579150729]", All normal length,"[1, 1, 1, 1]",N.V.T,
"[0.0, 0.0, 8431.03304322634]","[0.3191531330621665, 0.18085317207016782, 0.3191531330621665, 0.18085317207016782]","[4773990.251067497, 2705257.1035529748, 4773990.251067497, 2705257.1035529748]","[0.0, -2.3283064365386963e-10, 9613921.232562471]","[0.0, 0.0, 8194.879881144676]",-35.09963219539351,-0.0,"[197.70681288848374, 85.2909032341879, 197.70681288848374, 85.2909032341879]",Sling1,"[1, 0, 1, 0]",1.2765811402689566,"[12967.5, 13032.5, 12967.5, 13032.5]"
"[0.0, 0.0, 8431.033043226345]","[0.1808531720701677, 0.3191531330621667, 0.1808531720701677, 0.3191531330621667]","[2705257.1035529715, 4773990.251067498, 2705257.1035529715, 4773990.251067498]","[0.0, -4.656612873077393e-10, 9613921.232562473]","[0.0, 0.0, 8194.879881144676]",-35.09963219539351,-0.0,"[85.29090323418775, 197.70681288848354, 85.29090323418775, 197.70681288848354]",Sling2,"[0, 1, 0, 1]",1.2765811402689569,"[13032.5, 12967.5, 13032.5, 12967.5]"
"[0.0, 0.0, 8431.03304322634]","[0.3191531330621665, 0.18085317207016782, 0.3191531330621665, 0.18085317207016782]","[4773990.251067497, 2705257.1035529748, 4773990.251067497, 2705257.1035529748]","[0.0, -2.3283064365386963e-10, 9613921.232562471]","[0.0, 0.0, 8194.879881144676]",-35.09963219539351,-0.0,"[197.70681288848374, 85.2909032341879, 197.70681288848374, 85.2909032341879]",Sling3,"[1, 0, 1, 0]",1.2765811402689566,"[12967.5, 13032.5, 12967.5, 13032.5]"
"[0.0, 0.0, 8431.033043226345]","[0.1808531720701677, 0.3191531330621667, 0.1808531720701677, 0.3191531330621667]","[2705257.1035529715, 4773990.251067498, 2705257.1035529715, 4773990.251067498]","[0.0, -4.656612873077393e-10, 9613921.232562473]","[0.0, 0.0, 8194.879881144676]",-35.09963219539351,-0.0,"[85.29090323418775, 197.70681288848354, 85.29090323418775, 197.70681288848354]",Sling4,"[0, 1, 0, 1]",1.2765811402689569,"[13032.5, 12967.5, 13032.5, 12967.5]"
